Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,7000,DOCeq (mg/l),0.0,20.0,0.075
42,7000,Turbidity (FTU),1.099830503312369,20.0,0.075
42,7000,Conductivity (uS/cm),0.20370606505681546,20.0,0.075
42,7000,Temperature (°C),-0.19128886499102213,20.0,0.075
42,7000,pH,0.34562482114822074,20.0,0.075
42,7000,Free Chlorine (mg/l),0.18356783654954664,20.0,0.075
42,7000,nitrati,-0.037740656496986304,20.0,0.075
42,7000,UV254,-0.05993042030031733,20.0,0.075
42,7000,Pruned Events,0.07804418840105609,20.0,0.075
42,7000,Pressione (atm),0.010419378772615229,21.0,0.05
42,7000,TOCeq (mg/l),0.08964619447314537,21.0,0.05
42,7000,DOCeq (mg/l),0.0,21.0,0.05
42,7000,Turbidity (FTU),1.1565058819831346,21.0,0.05
42,7000,Conductivity (uS/cm),0.17177357087059542,21.0,0.05
42,7000,Temperature (°C),-0.165545469995529,21.0,0.05
42,7000,pH,0.2913725709158286,21.0,0.05
42,7000,Free Chlorine (mg/l),0.030004586303045477,21.0,0.05
42,7000,nitrati,-0.034069805107419304,21.0,0.05
42,7000,UV254,-0.07286396159066055,21.0,0.05
42,7000,Pressione (atm),0.010419378772615229,21.0,0.075
42,7000,TOCeq (mg/l),0.08964619447314537,21.0,0.075
42,7000,DOCeq (mg/l),0.0,21.0,0.075
42,7000,Turbidity (FTU),1.1565058819831346,21.0,0.075
42,7000,Conductivity (uS/cm),0.17177357087059542,21.0,0.075
42,7000,Temperature (°C),-0.165545469995529,21.0,0.075
42,7000,pH,0.2913725709158286,21.0,0.075
