Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,-7,0.9731462001800537,7.0
Sum of contribution of events ≤ t,-7,0.5973975658416748,7.0
Sum of contribution of events > t,-8,1.0262901782989502,7.0
Sum of contribution of events ≤ t,-8,0.5442535877227783,7.0
Sum of contribution of events > t,-9,1.088153600692749,7.0
Sum of contribution of events ≤ t,-9,0.4823901653289795,7.0
Sum of contribution of events > t,-10,1.1388165950775146,7.0
Sum of contribution of events ≤ t,-10,0.43172717094421387,7.0
Sum of contribution of events > t,-11,1.176074743270874,7.0
Sum of contribution of events ≤ t,-11,0.3944690227508545,7.0
Sum of contribution of events > t,-12,1.2225983142852783,7.0
Sum of contribution of events ≤ t,-12,0.3479454517364502,7.0
Sum of contribution of events > t,-13,1.265744924545288,7.0
Sum of contribution of events ≤ t,-13,0.30479884147644043,7.0
Sum of contribution of events > t,-14,1.3169419765472412,7.0
Sum of contribution of events ≤ t,-14,0.2536017894744873,7.0
Sum of contribution of events > t,-15,1.3599796295166016,7.0
Sum of contribution of events ≤ t,-15,0.21056413650512695,7.0
Sum of contribution of events > t,-16,1.4008281230926514,7.0
Sum of contribution of events ≤ t,-16,0.16971564292907715,7.0
Sum of contribution of events > t,-17,1.4408652782440186,7.0
Sum of contribution of events ≤ t,-17,0.12967848777770996,7.0
Sum of contribution of events > t,-18,1.5132238864898682,7.0
Sum of contribution of events ≤ t,-18,0.05731987953186035,7.0
Sum of contribution of events > t,-19,1.5705432891845703,7.0
Sum of contribution of events ≤ t,-19,4.76837158203125e-07,7.0
Sum of contribution of events > t,0,0.0,8.0
Sum of contribution of events ≤ t,0,1.5923943519592285,8.0
Sum of contribution of events > t,-1,0.09896111488342285,8.0
Sum of contribution of events ≤ t,-1,1.4934332370758057,8.0
Sum of contribution of events > t,-2,0.4986884593963623,8.0
Sum of contribution of events ≤ t,-2,1.0937058925628662,8.0
Sum of contribution of events > t,-3,0.68393874168396,8.0
Sum of contribution of events ≤ t,-3,0.9084556102752686,8.0
Sum of contribution of events > t,-4,0.8071486949920654,8.0
Sum of contribution of events ≤ t,-4,0.7852456569671631,8.0
Sum of contribution of events > t,-5,0.8833520412445068,8.0
Sum of contribution of events ≤ t,-5,0.7090423107147217,8.0
Sum of contribution of events > t,-6,0.9499890804290771,8.0
Sum of contribution of events ≤ t,-6,0.6424052715301514,8.0
Sum of contribution of events > t,-7,1.0085914134979248,8.0
Sum of contribution of events ≤ t,-7,0.5838029384613037,8.0
Sum of contribution of events > t,-8,1.0642235279083252,8.0
Sum of contribution of events ≤ t,-8,0.5281708240509033,8.0
Sum of contribution of events > t,-9,1.1149585247039795,8.0
Sum of contribution of events ≤ t,-9,0.477435827255249,8.0
Sum of contribution of events > t,-10,1.1737754344940186,8.0
Sum of contribution of events ≤ t,-10,0.41861891746520996,8.0
Sum of contribution of events > t,-11,1.2239959239959717,8.0
Sum of contribution of events ≤ t,-11,0.36839842796325684,8.0
Sum of contribution of events > t,-12,1.2601993083953857,8.0
Sum of contribution of events ≤ t,-12,0.3321950435638428,8.0
Sum of contribution of events > t,-13,1.3050882816314697,8.0
Sum of contribution of events ≤ t,-13,0.2873060703277588,8.0
Sum of contribution of events > t,-14,1.3487842082977295,8.0
Sum of contribution of events ≤ t,-14,0.24361014366149902,8.0
Sum of contribution of events > t,-15,1.398303747177124,8.0
Sum of contribution of events ≤ t,-15,0.1940906047821045,8.0
Sum of contribution of events > t,-16,1.4434711933135986,8.0
Sum of contribution of events ≤ t,-16,0.14892315864562988,8.0
